Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Sam Lacey;30;KCK;15.3;14.5;20.1;1.8;3
Charlie Scott;30;DEN;9.8;4.2;22;1.4;0.6
Mickey Johnson;26;CHI;15.5;13.2;21.3;1.6;1.2
Brian Winters;26;MIL;15.6;3.8;20.5;1.5;0.8
Rick Barry;34;HOU;14.7;5.9;25.7;1.7;0.8
Terry Tyler;22;DET;15.5;13.2;4.6;1.8;4.1
George McGinnis;28;DEN;20.6;17.7;16.9;2.3;1.1
James Edwards;23;IND;16.9;14;5.2;1.1;2.2
Don Buse;28;PHO;11.5;4.7;16.3;2.7;0.4
Dan Roundfield;25;ATL;19.4;18.4;7.4;1.6;4
Henry Bibby;29;PHI;11.2;5;19.2;1.3;0.1
Mike Bantom;27;IND;15.7;13.2;12.3;1.8;1.3
Armond Hill;25;ATL;11.8;3.5;24.8;1.9;0.4
Dave Cowens;30;BOS;15.2;14.4;13.7;1.4;1.1
John Long;22;DET;13.6;5.5;6.9;1.8;0.4
Scott Wedman;26;KCK;16.9;8.4;8;1.4;0.7
Wilbur Holland;27;CHI;13.1;5.6;19;2.3;0.3
Maurice Lucas;26;POR;18.4;16.2;13.1;1.2;1.8
Ron Brewer;23;POR;14.2;5.2;9.4;1.9;1.8
John Williamson;27;NJN;16.4;4.2;16.8;1.6;0.3
Walter Davis;24;PHO;23;8.5;21.1;2.7;0.6
Bob Wilkerson;24;DEN;12;8.9;16.1;2.2;0.4
Eddie Johnson;23;ATL;16.7;3.8;22.1;2.3;0.3
Robert Parish;25;GSW;20.8;20.4;6.9;1.9;4.9
John Drew;24;ATL;21.7;11.7;8.1;2.5;0.4
Maurice Cheeks;22;PHI;12.6;5.5;22.8;3.2;0.3
Wes Unseld;32;WSB;17.8;17.5;15.9;1.3;0.8
Jim Cleamons;29;NYK;11.8;5.1;19.7;1.4;0.2
John Johnson;31;SEA;11.2;9.1;20.3;1.1;0.6
Ray Williams;24;NYK;17.7;6.6;31;2.5;0.4
Alvan Adams;24;PHO;20.4;16.6;20.8;2.1;1.4
